,Mean,SigmaMin,SigmaPlus
0,0.8424294156782357,0.0031309029607037298,0.003227881140906552
1,190.45915472661673,6.982166088902659,6.859515323375234
2,281.3380306805988,21.815519548372208,22.360726459368664
3,-0.3544099988266517,0.12270226457073324,0.11631571894293943
4,25.445056095454937,2.682118580043287,2.598484919181651
5,351.5895197843563,93.50967115797732,90.95161335321569
6,-0.1222072875688997,0.0131634268170564,0.013715443809118225
7,1.692019239719146,1.2701033615080128,1.2685071178520793
8,0.07059167471122495,0.052965646226905014,0.0529179004870302
9,0.0183932804061126,0.013587969159678307,0.014388922567692218
10,1.2814960584000212,0.9364643274398302,0.9729291372615119
11,0.05124047753636348,0.03857268340792827,0.03872468086985061
12,0.014293385490577426,0.010498139584092814,0.011047887398037576
13,0.10163994566781155,0.07243112496142433,0.07494746657758371
14,0.009023058749383995,0.005692960985025608,0.005817654597828896
15,0.8981316769261499,0.5706616354957184,0.579732270124654
16,0.09018411412681775,0.03726456911584253,0.03759333773426542
17,0.9681735503279225,0.5971160958372157,0.6199993478999319
18,0.07519499486024234,0.05406755360492155,0.056789054178823795
19,0.11488065481649201,0.07828875205843043,0.07778267083326298
