,mass,sigmamin,sigmaplus
10,0.159644842563623,0.04117807861078851,0.037788378445385046
11,0.03317936803712394,0.025057022083104973,0.0246134453525777
12,0.20934948094650258,0.09039588723232507,0.07503464972441298
13,0.10625211324444787,0.02093502129940887,0.0198001359983936
14,0.03991609368178599,0.026183342618696776,0.024309928764539343
15,0.1628782543963834,0.059933903373979955,0.05127648267807405
16,0.014159992488487923,0.0026698830131192675,0.0025619471816811477
17,0.005999782660704382,0.004575629193325746,0.004674079017151783
18,0.025674491843239184,0.006480857607991622,0.00635905594489369
19,0.14457346099578888,0.01143440261995865,0.011277390736725013
20,0.007646957284264769,0.002838970484842676,0.002819810438985524
21,0.06876378896805467,0.014587582396476145,0.014205176481269496
22,0.021961372889593538,0.017202203863046783,0.0172361699228259
